Strike Price,Option Type,Last Price,IV,Open Interest,Change in OI,Date,Expiry
25550.0,PE,14.65,19.89,83695,-4299,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25600.0,CE,270.95,0.0,21505,-62172,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25600.0,PE,16.3,18.24,130126,-24636,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25650.0,CE,223.95,0.0,16723,-33286,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25650.0,PE,18.65,16.63,79310,25560,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25700.0,CE,178.0,8.76,43491,-103618,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25700.0,PE,23.5,15.45,158841,80883,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25750.0,CE,136.85,9.84,26900,-49858,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25750.0,PE,31.45,14.56,106790,82956,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25800.0,CE,100.35,10.27,119324,-49514,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25800.0,PE,45.05,14.19,213384,161111,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25850.0,CE,71.45,10.83,114380,54452,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25850.0,PE,65.4,14.26,113945,105890,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25900.0,CE,48.6,11.2,176708,72514,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25900.0,PE,92.6,14.64,61661,53100,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25950.0,CE,33.55,11.91,118030,48978,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25950.0,PE,128.0,15.7,17752,13876,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26000.0,CE,24.3,12.9,295180,72703,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26000.0,PE,168.2,17.01,31733,11031,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26050.0,CE,17.75,13.84,78205,28236,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26050.0,PE,212.4,18.7,2090,816,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26100.0,CE,13.5,14.88,115224,30120,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26100.0,PE,257.1,20.13,6508,2007,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26150.0,CE,10.85,16.07,51188,13388,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26150.0,PE,305.3,22.22,791,100,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
