CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,659","-1,045","4,304",-,518.75,170.90,260,514.50,516.75,65,"25,350.00",260,10.65,10.80,325,-12.45,10.65,26.31,"5,98,851","7,712","55,859",
,"6,392","-5,650","24,626",-,465.90,162.85,585,465.05,467.00,975,"25,400.00",910,11.40,11.60,"1,755",-16.75,11.40,24.73,"11,47,304","11,379","1,18,347",
,"2,669","-1,358","13,762",-,416.45,156.85,65,416.35,417.95,260,"25,450.00",975,12.45,12.65,"1,365",-22.05,12.45,23.22,"8,47,785","11,116","76,730",
,"30,018","-16,779","1,74,138",-,368.00,149.70,195,367.00,368.25,260,"25,500.00",325,13.45,13.60,260,-30.25,13.45,21.57,"20,18,184","-25,003","1,59,814",
,"11,867","-10,293","85,735",-,320.20,139.85,325,318.70,319.85,325,"25,550.00","1,235",14.65,14.80,"1,105",-41.00,14.65,19.89,"11,39,002","-4,299","83,695",
,"21,505","-62,172","4,35,625",-,270.95,125.05,260,269.75,270.95,65,"25,600.00",780,16.10,16.30,780,-54.20,16.30,18.24,"25,80,081","-24,636","1,30,126",
,"16,723","-33,286","3,93,925",-,223.95,107.90,260,222.55,223.60,260,"25,650.00","1,040",18.65,18.90,"1,560",-71.75,18.65,16.63,"21,74,616","25,560","79,310",
,"43,491","-1,03,618","17,78,793",8.76,178.00,87.60,65,177.55,178.00,325,"25,700.00","8,905",23.50,23.55,"1,755",-91.20,23.50,15.45,"44,95,585","80,883","1,58,841",
,"26,900","-49,858","21,09,240",9.84,136.85,67.25,130,136.00,136.65,390,"25,750.00",520,31.05,31.40,650,-112.60,31.45,14.56,"41,76,631","82,956","1,06,790",
,"1,19,324","-49,514","77,93,151",10.27,100.35,46.90,260,99.75,100.35,715,"25,800.00",65,45.15,45.40,780,-132.60,45.05,14.19,"95,40,533","1,61,111","2,13,384",
,"1,14,380","54,452","79,58,440",10.83,71.45,30.60,520,70.65,71.35,585,"25,850.00",325,65.10,65.55,"1,300",-149.45,65.40,14.26,"65,59,600","1,05,890","1,13,945",
,"1,76,708","72,514","84,65,196",11.20,48.60,17.15,780,48.65,49.00,260,"25,900.00",260,92.75,93.40,"1,170",-163.20,92.60,14.64,"45,77,008","53,100","61,661",
,"1,18,030","48,978","39,55,648",11.91,33.55,8.95,780,33.20,33.55,780,"25,950.00",455,127.45,128.25,520,-170.70,128.00,15.70,"11,21,411","13,876","17,752",
,"2,95,180","72,703","68,19,274",12.90,24.30,4.20,585,24.10,24.35,455,"26,000.00",520,167.90,168.70,455,-176.05,168.20,17.01,"13,49,083","11,031","31,733",
,"78,205","28,236","26,21,683",13.84,17.75,1.55,325,17.55,17.75,"1,300","26,050.00",325,211.70,212.40,455,-178.60,212.40,18.70,"1,77,402",816,"2,090",
,"1,15,224","30,120","31,71,847",14.88,13.50,-0.20,"1,365",13.30,13.50,780,"26,100.00",260,257.35,258.40,260,-180.65,257.10,20.13,"1,58,520","2,007","6,508",
,"51,188","13,388","14,10,065",16.07,10.85,-1.05,"2,665",10.70,10.95,260,"26,150.00",260,304.90,306.45,325,-179.60,305.30,22.22,"20,376",100,791,
,"1,14,498","15,931","17,13,009",17.30,9.00,-1.60,"1,105",8.90,9.00,195,"26,200.00",260,352.55,354.15,260,-181.35,354.05,24.32,"44,393","-1,574","3,189",
,"63,943","10,120","9,96,806",18.53,7.65,-1.90,"2,795",7.65,7.70,195,"26,250.00",260,400.85,403.30,195,-183.40,400.70,25.62,"4,642",-150,470,
,"99,977","-6,820","11,93,220",19.69,6.50,-1.95,65,6.40,6.50,975,"26,300.00",260,450.05,451.85,195,-181.60,450.70,27.88,"12,444",-370,"1,750",
,"44,123","11,990","6,99,761",20.84,5.60,-2.05,"5,590",5.60,5.75,260,"26,350.00",260,498.85,501.05,325,-183.25,498.60,29.33,"1,276",-122,594,
,"78,491","14,499","9,22,259",22.16,5.10,-1.60,65,5.05,5.20,"1,495","26,400.00",260,548.30,550.85,260,-179.05,549.00,31.62,"2,715",-187,500,
,"32,052","4,820","5,34,344",23.25,4.45,-1.80,65,4.50,4.65,845,"26,450.00",260,597.65,600.70,260,-180.65,599.90,34.09,243,-83,197,
,"1,39,525","-7,878","12,89,206",24.52,4.10,-1.35,65,4.00,4.10,"1,105","26,500.00",390,646.40,649.60,260,-178.90,649.30,35.93,"7,243","-1,285","4,555",
,"28,190","5,697","5,43,633",25.72,3.75,-1.25,"2,210",3.65,3.80,"1,885","26,550.00",260,696.50,699.00,65,-182.20,698.50,37.63,368,50,102,
,"1,14,353","41,452","10,68,652",26.96,3.50,-1.25,"1,300",3.35,3.40,"1,755","26,600.00",260,745.50,749.85,65,-173.80,746.10,38.55,302,-75,433,
,"28,187","10,416","4,57,705",27.81,3.00,-1.25,910,3.00,3.10,"2,015","26,650.00",260,794.45,800.05,260,-186.80,793.00,38.94,18,-2,32,
,"80,898","11,914","7,54,986",29.14,2.90,-0.80,"1,950",2.75,2.90,"2,080","26,700.00",260,845.10,850.20,260,-181.50,843.00,40.82,140,5,74,
