Date,Expiry,Strike Price,Option Type,Last Price,spot_price,moneyness,IV,implied_volatility,time_to_expiry,delta,Open Interest,Change in OI
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-7.75,,,9.6,0.096,0.0,0.0,-650,538419
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,563.80,,,,0.2,0.0,0.0,,8851
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-9.90,,,10.2,0.102,0.0,0.0,-979,973968
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,518.75,,,,0.2,0.0,0.0,,1659
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-12.45,,,10.65,0.1065,0.0,0.0,7712,598851
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,975,CE,465.90,,,,0.2,0.0,0.0,,6392
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,975,PE,-16.75,,,11.4,0.114,0.0,0.0,11379,1147304
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,416.45,,,,0.2,0.0,0.0,,2669
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-22.05,,,12.45,0.1245,0.0,0.0,11116,847785
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,195,CE,912.00,,,,0.2,0.0,0.0,,701
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1755,CE,1.05,,,56.06,0.5606,0.0,0.0,,52903
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-3.35,,,6.75,0.0675,0.0,0.0,13696,687028
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,130,PE,-3.00,,,6.6,0.066,0.0,0.0,649,430732
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,130,CE,1510.00,,,,0.2,0.0,0.0,,72
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,130,PE,-1.00,,,4.3,0.043,0.0,0.0,979,119614
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,CE,1461.45,,,,0.2,0.0,0.0,,537
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,PE,-1.30,,,4.2,0.042,0.0,0.0,5158,309441
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1206.05,,,,0.2,0.0,0.0,,127
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-1.45,,,4.45,0.044500000000000005,0.0,0.0,10788,208547
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,CE,1364.65,,,,0.2,0.0,0.0,,2296
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,PE,-1.55,,,4.75,0.0475,0.0,0.0,25860,1023915
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1305.00,,,,0.2,0.0,0.0,,249
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-1.85,,,4.85,0.048499999999999995,0.0,0.0,1604,236204
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1259.85,,,,0.2,0.0,0.0,,1273
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-2.15,,,4.95,0.0495,0.0,0.0,16858,455099
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1229.75,,,46.99,0.46990000000000004,0.0,0.0,,424
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-2.25,,,5.3,0.053,0.0,0.0,272,116367
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1165.10,,,,0.2,0.0,0.0,,927
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-2.40,,,5.7,0.057,0.0,0.0,3490,515461
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1113.00,,,,0.2,0.0,0.0,,668
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-2.60,,,5.95,0.059500000000000004,0.0,0.0,4851,291040
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,CE,1062.35,,,,0.2,0.0,0.0,,2671
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,PE,-3.10,,,6.0,0.06,0.0,0.0,9275,774468
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,130,CE,1012.20,,,,0.2,0.0,0.0,,558
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,960.85,,,,0.2,0.0,0.0,,3594
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1755,PE,-,,,2395.8,23.958000000000002,0.0,0.0,-,-
